ID,英文名稱,中文名稱,圖片,生歿年,國籍,專長,備註,更新日期
3252232,"Kozeluh, Leopold","柯策鲁,雷欧波德",,1747-1818,捷克,作曲,nan,2017-08-08
3252233,"Kozhevnikov, Boris Tikhonovich",柯杰夫尼科夫,,1906-1985,俄国,作曲,nan,2017-08-08
3252234,"Kraft, Anton","克拉夫特,安东",,1749-1820,奥地利,大提琴；作曲,nan,2017-08-08
3252235,"Kraft, Nicolaus","克拉夫特,尼克劳斯",,1778-1853,匈牙利,大提琴；作曲,nan,2017-08-08
3252236,"Kraft, William","克拉夫特,威廉",,1923-,美国,作曲；指挥,nan,2017-08-08
3252237,"Kramer, Arthur Walter","克拉莫,亚图华尔特",,1890-1969,美国,乐评；作曲,nan,2017-08-08
3252238,"Kramer, Robert","克拉莫,罗伯特",,1954-,美国,作曲,nan,2017-08-08
3252239,"Krása, Hans",克拉萨,,1899-1944,捷克,作曲,nan,2017-08-08
3252240,"Krasner, Louis",克拉斯纳,,1903-1995,美国,小提琴,nan,2017-08-08
3252241,"kraus, Alfredo","克劳斯,阿弗列多",,1927-1999,西班牙,nan,nan,2018-05-31
3252242,"Kraus, Joseph Martin","克劳斯,约瑟夫",,1756-1792,德国,作曲；指挥,nan,2017-08-08
3252243,"Kraus, Lili","克劳斯,莉莉",,1905-1986,匈牙利,钢琴,nan,2017-08-08
3252244,"Kraus, Otakar","克劳斯,欧塔卡",,1909-1980,英国,声乐,捷裔男中音,2017-08-08
3252245,"Krauss, Clemens","克劳斯,克雷门斯",,1893-1954,奥地利,指挥,nan,2017-08-08
3252246,"Krebs, Johann Ludwig","克瑞伯斯,约翰",,1713-1780,德国,管风琴；作曲,nan,2017-08-08
3252247,"Krebs, Marie","克瑞伯斯,玛莉",,1851-1900,德国,钢琴,nan,2017-08-08
3252248,"Krehbiel, Henry",克雷比尔,,1854-1923,美国,乐评；著作,nan,2017-08-08
3252249,"Krein, Alexander","克莱恩,亚力山大",,1883-1951,俄国,作曲,nan,2017-08-08
3252250,"Krein, Grigory","克莱恩,格利果利",,1880-1955,俄国,作曲,nan,2017-08-08
3252251,"Krein, Julian","克莱恩,尤利安",,1913-1996,俄国,作曲,nan,2017-08-08
3252252,"Kreisler, Fritz",克莱斯勒,,1875-1962,奥地利,小提琴；作曲,nan,2017-08-08
3252253,"Krejčí, Isa",克瑞伊奇,,1904-1968,捷克,作曲；指挥,nan,2017-08-08
3252254,"Krek, Uroš",克雷克,,1922-2008,斯洛维尼亚,作曲,nan,2017-08-08
3252255,"Krenek, Ernst",克雷内克,,1900-1992,美国,作曲,奥裔,2017-08-08
3252256,"Krenz, Jan",克连兹,,1926-,波兰,指挥；作曲,nan,2017-08-08
3252257,"Kreutzer, Conradin","克罗采,孔拉丁",,1780-1849,德国,作曲,nan,2017-08-08
3252258,"Kreutzer, Rodolphe","克罗采,罗道夫",,1766-1831,法国,小提琴；作曲,nan,2017-08-08
3252259,"Krieger, Adam","克利格,亚当",,1634-1666,德国,作曲,nan,2017-08-08
3252260,"Krieger, Johann","克利格,约翰",,1651-1735,德国,作曲；管风琴,nan,2017-08-08
3252261,"Krieger, Johann Philipp","克利格,菲利普",,1649-1725,德国,作曲；管风琴,nan,2017-08-08
3252262,"Krips, Henry","克利普斯,亨利",,1912-1987,澳大利亚,指挥,奥裔,2017-08-08
3252263,"Krips, Josef","克利普斯,约瑟夫",,1902-1974,奥地利,指挥,nan,2017-08-08
3252264,"Kröll, Georg",柯罗尔,,1934-,德国,作曲,nan,2017-08-08
3252265,"Krombholc, Jaroslav",克隆姆霍尔茨,,1918-1983,捷克,指挥,nan,2018-04-17
3252266,"Krommer, Franz",克隆莫,,1759-1831,捷克,作曲；小提琴,nan,2017-08-08
3252267,"Krueger, Karl",克吕格,,1894-1979,美国,指挥,德裔,2017-08-08
3252268,"Kruisbrink, Annette",克吕斯布林克,,1958-,荷兰,作曲,nan,2017-08-08
3252269,"Krumpholtz, Jean-Baptiste","克隆弗兹,詹",,1742-1790,捷克,竖琴；作曲,nan,2017-08-08
3252270,"Krumpholtz, Wenzel","克伦霍尔兹,温则尔",,1750--1817,奥地利,小提琴；作曲,捷裔,2017-08-08
3252271,"Krumpholz, Johann Baptist","克伦霍尔兹,约翰",,1745-1790,法国,作曲；竖琴,捷裔,2017-08-08
3252272,"Kruse, Bjørn","克鲁则,比约恩",,1946-,英国,作曲,nan,2017-08-08
3252273,"Kruse, Johann","克鲁则,约翰",,1859-1927,澳大利亚,小提琴,nan,2017-08-08
3252274,"Krygell, Johan Adam",克里杰尔,,1835-1915,丹麦,作曲,nan,2017-08-08
3252275,"Kryzhanovsky, Ivan Ivanovich",克利札诺夫斯基,,1867-1924,俄国,作曲,nan,2017-08-08
3252276,"Kubelik, Jan","库贝利克,杨",,1880-1940,捷克,小提琴；作曲,nan,2017-08-08
3252277,"Kubelik, Rafael","库贝利克,拉斐尔",,1914-1996,捷克,指挥；作曲,nan,2017-08-08
3252278,"Kubik, Gail",库比克,,1914-1987,美国,作曲,nan,2017-08-08
3252279,"Kubo, Yoshikazu",久保义一,,1954-,日本,小号,nan,2017-08-08
3252280,"Kucij, Timothy",库奇,,1954-,美国,作曲,nan,2017-08-08
3252281,"Kuehn, Mikel",库恩,,1967-,美国,作曲,nan,2017-08-08
3252282,"Kuhlau, Friedrich Daniel Rudolf",库劳,,1786-1832,德国,作曲,nan,2017-08-08
3252283,"Kuhnau, Johann",库瑙,,1660-1722,德国,作曲,nan,2017-08-08
3252284,"Kulenkampff, Georg",库伦康普夫,,1898-1984,德国,小提琴,nan,2017-08-08
3252285,"Kulenty, Hanna",库伦蒂,,1961-,波兰,作曲,nan,2017-08-08
3252286,"Kuljuntausta, Petri",库雍陶斯塔,,1961-,芬兰,作曲,nan,2017-08-08
3252287,"Kullak, Theodor",库拉克,,1818-1882,德国,钢琴,nan,2017-08-08
3252288,"Kullman, Charles",库尔曼,,1903-1983,美国,声乐,男高音,2017-08-08
3252289,"Kummer, Friedrich August",库莫,,1797-1879,德国,作曲,nan,2017-08-08
3252290,"Kumok, Jorge","库莫克,霍尔黑",,1931-,阿根廷,作曲,nan,2017-08-08
3252291,"Kumok, Josef","库莫克,约瑟夫",,18??-19??,波希米亚,作曲,nan,2017-08-08
3252292,"Kunst, Jos",昆斯特,,1936-1996,荷兰,作曲,nan,2017-08-08
3252293,"Kunz, Erich",昆兹,,1909-1995,奥地利,声乐,男中音,2017-08-08
3252294,"Kupferman, Meyer",库普菲曼,,1926-2003,美国,作曲,nan,2017-08-08
3252295,"Kuramoto, Takahiro",仓本高弘,,1960-,日本,作曲,nan,2017-08-08
3252296,"Kurka, Robert",寇卡,,1921-1957,美国,作曲,nan,2017-08-08
3252297,"Kurtág, Győrgy",库塔格,,1926-,匈牙利,作曲,罗马尼亚裔,2017-08-08
3252298,"Kurtz, Efrem",寇尔茨,,1900-1995,美国,指挥,俄裔,2018-04-17
3252299,"Kurz, Ivan","库尔兹,伊凡",,1947-,捷克,作曲,nan,2017-08-08
3252300,"Kurz, Selma","库尔兹,塞尔玛",,1874-1933,奥地利,声乐,女高音,2017-08-08
3252301,"Kusser, Johann Sigismund",库赛尔,,1660-1727,德国,作曲,匈裔,2017-08-08
3252302,"Kuula, Toivo",库拉,,1883-1918,芬兰,作曲；指挥,nan,2017-08-08
3252303,"Kuyper, Elisabeth",克伊珀,,1877-1953,荷兰,作曲,nan,2017-08-08
3252304,"Kvapil, Jaroslav",克瓦皮尔,,1892-1958,捷克,作曲；指挥,nan,2017-08-08
3252305,"Kvěch, Otomar",克维奇,,1950-,捷克,作曲,nan,2017-08-08
3252306,"Kyburz, Hanspeter",基布兹,,1960-,瑞士,作曲,nan,2017-08-08
3252307,"La Berge, Anne",拉贝吉,,1955-,美国,作曲,nan,2017-08-08
3252308,"La Cour, Niels",拉库尔,,1944-,丹麦,作曲,nan,2017-08-08
3252309,"La Forge, Frank",拉霍尔吉,,1879-1953,美国,钢琴；作曲,nan,2017-08-08
3252310,"La Montaine, John",拉蒙恬内,,1920-2013,美国,作曲,nan,2017-08-08
3252311,"Lablache, Luigi",拉布拉凯,,1794-1858,义大利,声乐,男低音,2017-08-08
3252312,"Labroca, Mario",拉布洛卡,,1896-1973,义大利,作曲；著作,nan,2017-08-08
3252313,"Labunski, Felix","拉本斯基,菲利克斯",,1892-1979,美国,作曲；著作,波裔,2017-08-08
3252314,"Labunski, Wiktor","拉本斯基,维克多",,1895-1974,美国,钢琴；作曲,波裔,2017-08-08
3252315,"Lacaze, Sophie",拉卡芝,,1963-,法国,作曲,nan,2017-08-08
3252316,"Lacerda, Francisco de",拉萨达,,1869-1934,葡萄牙,作曲,nan,2017-08-08
3252317,"Lachenmann, Helmut",拉亨曼,,1935-,德国,作曲,nan,2017-08-08
3252318,"Lachert, Piotr de Peslin",拉赫特,,1938-,波兰,作曲,nan,2017-08-08
3252319,"Lachner, Franz Paul",拉赫纳,,1803-1890,德国,作曲；指挥,nan,2017-08-08
3252320,"Lacombe, Louis Trouillon","拉孔伯,路易",,1818-1884,法国,作曲；钢琴,nan,2017-08-08
3252321,"Lacombe, Paul","拉孔伯,保尔",,1837-1927,法国,作曲,nan,2017-08-08
3252322,"Ladd, Andrew",拉德,,1960-,英国,作曲,nan,2017-08-08
3252323,"Ladmirault, Paul",拉德米罗,,1877-1944,法国,作曲,nan,2017-08-08
3252324,"LaFave, Kenneth",拉法弗,,1951-,美国,作曲,nan,2017-08-08
3252325,"Lafont, Charles Philippe",拉冯,,1781-1839,法国,小提琴；作曲,nan,2017-08-08
3252326,"Lail, Lorri",赖尔,,1904-1978,挪威,声乐,次女高音,2017-08-08
3252327,"Laitman, Lori",赖特曼,,1955-,美国,作曲,nan,2017-08-08
3252328,"Lajtha, László",拉依塔,,1892-1963,匈牙利,作曲；音乐学,nan,2017-08-08
3252329,"Lalande, Michel-Richard de",拉隆德,,1657-1726,法国,作曲,nan,2017-08-08
3252330,"Lalo, Édouard",拉罗,,1823-1892,法国,作曲,nan,2017-08-08
3252331,"Lambert, Alexander","隆贝尔,亚力山大",,1862-1923,美国,钢琴,波兰裔,2017-08-08
3252332,"Lambert, Constant",蓝伯特,,1905-1951,英国,作曲；指挥；著作,nan,2017-08-08
3252333,"Lambert, Raymond Édouard","隆贝尔,雷蒙",,1908-1966,比利时,钢琴,nan,2017-08-08
3252334,"Lambertini, Marta",蓝贝尔蒂妮,,1937-,阿根廷,作曲,nan,2017-08-08
3252335,"Lamond, Frederic",拉蒙德,,1868-1948,英国（苏格兰）,钢琴,nan,2017-08-08
3252336,"Lamothe, Ludovic",拉莫特,,1882-1953,海地,作曲,nan,2017-08-08
3252337,"Lamotte, Franz",拉摩特,,1751-1781,荷兰,小提琴；作曲,nan,2017-08-08
3252338,"Lamoureux, Charles","拉穆柔,夏勒",,1834-1899,法国,指挥；小提琴,nan,2017-08-08
3252339,"Lamoureux, Jean Jacques","拉穆柔,尚",,1946-,加拿大,作曲,nan,2017-08-08
3252340,"Lampugnani, Giovanni",蓝普亚尼,,1706-1786,义大利,作曲,nan,2017-08-08
3252341,"Lancen, Serge",隆桑,,1922-2005,法国,钢琴；作曲,nan,2017-08-08
3252342,"Lanchbery, John",蓝奇贝利,,1923-2003,英国,指挥；作曲,nan,2018-04-17
3252343,"Lancino, Thierry",隆奇诺,,1954-,法国,作曲,nan,2017-08-08
3252344,"Landi, Stefano",蓝迪,,1586-1639,义大利,作曲,nan,2017-08-08
3252345,"Landini, Francesco",蓝迪尼,,1325-1397,义大利,作曲,nan,2017-08-08
3252346,"Landowska, Wanda",蓝朵芙丝卡,,1879-1959,波兰,大键琴,nan,2017-08-08
3252347,"Landowski, Marcel",隆朵夫斯基,,1915-1999,法国,作曲,nan,2017-08-08
3252348,"Landré, Guillaume",蓝德瑞,,1905-1968,荷兰,作曲；著作,nan,2017-08-08
3252349,"Lang, David","蓝格,大卫",,1957-,美国,作曲,nan,2017-08-08
3252350,"Lang, Josephine","蓝格,约瑟芬",,1815-1880,德国,作曲,nan,2017-08-08
3252351,"Lang, Paul Henry","蓝格,保罗",,1901-1991,美国,音乐学,匈牙利裔,2017-08-08
3252352,"Lange, Francisco Curt","蓝格,弗朗西斯科",,1903-1997,乌拉圭,音乐学,德裔,2017-08-08
3252353,"Lange, Hans","蓝格,汉斯",,1884-1960,美国,小提琴；指挥,德裔,2017-08-08
3252354,"Lange-Müller, Peter Erasmus",蓝格－缪勒,,1850-1926,丹麦,作曲,nan,2017-08-08
3252355,"Langgaard, Rued Immanuel",蓝加德,,1893-1952,丹麦,作曲,nan,2017-08-08
3252356,"Langlais, Jean",隆格列,,1907-1991,法国,管风琴；作曲,nan,2017-08-08
3252357,"Lanier, Nicholas",拉尼尔,,1588-1666,英国,作曲,nan,2017-08-08
3252358,"Lankester, Michael",蓝开斯特,,1944-,英国,指挥,nan,2017-08-08
3252359,"Lanman, Anthony",隆曼,,1973-,美国,作曲,nan,2017-08-08
3252360,"Lanner, Joseph",蓝纳,,1801-1843,奥地利,小提琴；作曲,nan,2017-08-08
3252361,"Lansky, Paul",蓝斯基,,1944-,美国,作曲,nan,2017-08-08
3252362,"Lanza, Alcides",蓝札,,1929-,加拿大,作曲,阿根廷裔,2018-04-17
3252363,"Lanzani, Giorgio",蓝札尼,,1948-,义大利,作曲,nan,2017-08-08
3252364,"Laparra, Raoul",拉帕拉,,1876-1943,法国,作曲,nan,2017-08-08
3252365,"Laporte, André",拉波尔特,,1931-,比利时,作曲,nan,2017-08-08
3252366,"Lara, Isidore de",拉腊,,1858-1935,英国,作曲；钢琴,nan,2017-08-08
3252367,"Larchet, John Francis",拉其特,,1884-1967,爱尔兰,作曲,nan,2017-08-08
3252368,"Laredo, Jaime",拉雷多,,1941-,美国,小提琴,玻利维亚裔,2017-08-08
3252369,"Large, Brain",拉吉,,1937-,英国,音乐学,nan,2017-08-08
3252370,"LaRocca, Frank",拉罗卡,,1951-,美国,作曲,nan,2017-08-08
3252371,"Larrocha, Alicia de",拉萝佳,,1923-2010,西班牙,钢琴,nan,2017-08-08
3252372,"Larsen, Libby",拉森,,1950-,瑞典,作曲,nan,2018-04-17
3252373,"Larsson, Lars-Erik",拉松,,1908-1986,瑞典,作曲,nan,2018-04-17
3252374,"Lasalle, Jean Louis",拉撒勒,,1847-1909,法国,声乐,男低音,2017-08-08
3252375,"Lasernia, Blas de",拉赛尔尼亚,,1751-1816,西班牙,作曲,nan,2017-08-08
3252376,"Lassen, Eduard",拉森,,1830-1904,丹麦,作曲；指挥,nan,2017-08-08
3252377,"Lassus, Roland de(Lasso, Orlando di)",拉素斯(拉索),,1532-1594,法国,作曲,nan,2018-04-17
3252378,Lassus. Orlando di,拉素斯(拉索),,1532-1594,比利时,作曲,nan,2018-04-17
3252379,"László, Magda",拉姿洛,,1919-2002,匈牙利,声乐,女高音,2017-08-08
3252380,"Lauber, Joseph",劳伯,,1864-1952,瑞士,作曲,nan,2017-08-08
3252381,"Laurenti, Girolamo Bartolomeo",劳伦悌,,1644-1726,义大利,作曲；小提琴,nan,2017-08-08
3252382,"Lauri-Volpi, Giacomo",劳利－佛尔比,,1892-1979,义大利,声乐,男高音,2017-08-08
3252383,"Lauridsen, Morten",劳利德森,,1943-,美国,作曲,nan,2017-08-08
3252384,"Lauro, Antonio",劳罗,,1917-1986,委内瑞拉,作曲；吉他,nan,2017-08-08
3252385,"Lavallée, Calixa",拉华列,,1842-1891,加拿大,作曲；钢琴,nan,2017-08-08
3252386,"Lawes, William",劳斯,,1602-1645,英国,作曲,nan,2017-08-08
3252387,"Lawrence, Marjorie",劳伦丝,,1909-1979,澳大利亚,声乐,女高音,2017-08-08
3252388,"Lazareno, Manuel",拉撒雷诺,,1909-2007,西班牙,作曲,nan,2017-08-08
3252389,"Lazarof, Henri",拉札罗夫,,1932-2013,美国,作曲,保加利亚裔,2017-08-08
3252390,"Lazzari, Sylvio",拉札利,,1857-1944,法国,作曲,nan,2017-08-08
3252391,"Le Couppey, Félix",勒库佩,,1811-1887,法国,钢琴；作曲,nan,2018-04-17
3252392,"Le Flem, Paul",勒弗雷姆,,1881-1984,法国,作曲,nan,2017-08-08
3252393,"Le Fleming, Christopher",雷弗雷明,,1908-1985,英国,作曲,nan,2017-08-08
3252394,"Le Gallienne, Dorian",雷高连,,1915-1963,澳大利亚,作曲,nan,2017-08-08
3252395,"Le Jeune, Claude",勒哲内,,1528-1600,法国,作曲,nan,2017-08-08
3252396,"Le Sueur, Jean-François",勒休厄,,1760-1837,法国,作曲；音乐著作,nan,2017-08-08
3252397,"Lear, Evelyn",莉儿,,1928-2012,美国,声乐,女高音,2017-08-08
3252398,"Leavins, Arthur",李文斯,,1917-1995,英国,小提琴,nan,2017-08-08
3252399,"Lebrun, Parl Henri Joseph",勒伯冉,,1861-1920,比利时,作曲,nan,2017-08-08
3252400,"Lechner, Leonhard",雷赫纳,,1553-1606,奥地利,作曲,nan,2017-08-08
3252401,"Leclair, Jean-Marie",勒克雷尔,,1697-1764,法国,作曲；小提琴,nan,2017-08-08
3252402,"Lecocq, Charles",勒科克,,1832-1918,法国,作曲,nan,2017-08-08
3252403,"Lecuna, Juan Vicente",雷固纳,,1899-1954,委内瑞拉,作曲,nan,2017-08-08
3252404,"Ledger, Philip",赖吉尔,,1937-2012,英国,管风琴；指挥；钢琴,nan,2017-08-08
3252405,"Lee, Sebastian","李,瑟巴斯提安",,1805-1887,德国,作曲；大提琴,nan,2017-08-08
3252406,"Lees, Benjamin",李斯,,1924-2010,美国,作曲,nan,2017-08-08
3252407,"Leeuw, Reinbert de","莱乌,莱恩伯特",,1938-,荷兰,作曲,nan,2017-08-08
3252408,"Leeuw, Ton de","莱乌,唐",,1926-1996,荷兰,作曲,nan,2017-08-08
3252409,"Lefanu, Nicola",雷法奴,,1947-,英国,作曲,nan,2017-08-08
3252410,"Lefébure, Yvonne",勒菲比尔,,1898-1986,法国,钢琴,nan,2017-08-08
3252411,"Lefébure- Wély, Louis James Alfred",勒菲比尔－威利,,1817-1870,法国,作曲；管风琴,nan,2017-08-08
3252412,"Lefebvre, Charles Édouard",勒菲弗尔,,1843-1917,法国,作曲,nan,2017-08-08
3252413,"Legge, Walter","雷格,华尔特",,1906-1979,英国,音乐出版著作,nan,2017-08-08
3252414,"Legley, Victor",勒格列,,1915-1994,比利时,作曲,nan,2017-08-08
3252415,"Legrand, Michel",勒格隆,,1932-,法国,作曲,nan,2017-08-08
3252416,"Legrenzi, Giovanni",雷格伦济,,1626-1690,义大利,作曲,nan,2017-08-08
3252417,"Lehár, Franz",雷哈尔,,1870-1948,匈牙利,作曲,nan,2017-08-08
3252418,"Lehmann, Lilli","雷曼,莉莉",,1848-1929,德国,声乐,女高音,2017-08-08
3252419,"Lehmann, Liza","雷曼,莉莎",,1862-1918,英国,作曲；声乐,女高音,2017-08-08
3252420,"Lehmann, Lotte","雷曼,洛特",,1888-1976,德国,声乐,女高音,2017-08-08
3252421,"Lehrman, Leonard",雷尔曼,,1949-,美国,作曲,nan,2017-08-08
3252422,"Leibowitz, René",莱伯维兹,,1913-1972,法国,作曲；指挥；音乐学,波兰裔,2017-08-08
3252423,"Leichtentritt, Hugo",莱希田特利特,,1874-1951,德国,作曲,nan,2017-08-08
3252424,"Leider, Frida",莱德,,1888-1975,德国,声乐,女高音,2017-08-08
3252425,"Leifs, Jón",莱弗斯,,1899-1968,冰岛,作曲,nan,2017-08-08
3252426,"Leigh, Mitch","雷,米区",,1928-2014,美国,作曲,nan,2017-08-08
3252427,"Leigh, Walter","雷,华尔特",,1905-1942,英国,作曲,nan,2017-08-08
3252428,"Leigh-Sharpe, William Harold",雷－夏普,,1881-1950,英国,作曲,nan,2017-08-08
3252429,"Leighton, Kenneth",雷顿,,1929-1988,英国,作曲,nan,2017-08-08
3252430,"Leinsdorf, Erich",莱因斯朵夫,,1912-1993,美国,指挥,奥裔,2017-08-08
3252431,"Leisner, David",莱斯纳,,1953-,美国,作曲；吉他,nan,2017-08-08
3252432,"Leitner, Ferdinand",莱特纳,,1912-1996,德国,指挥家,nan,2017-08-08
3252433,"Lekeu, Guillaume",勒克,,1870-1894,比利时,作曲,nan,2017-08-08
3252434,"Lely, Durward",雷利,,1857-1944,英国,声乐,男高音,2017-08-08
3252435,"Lemare, Edwin",雷梅尔,,1865-1934,英国,管风琴；作曲,nan,2017-08-08
3252436,"Lemba, Arthur",雷姆巴,,1885-1963,爱沙尼亚,作曲,nan,2017-08-08
3252437,"Lemire, Jean-Baptiste",勒密尔,,1867-1945,法国,作曲,nan,2017-08-08
3252438,"Lemmens, Jacques Nicolas",连蒙斯,,1823-1881,比利时,管风琴；作曲,nan,2017-08-08
3252439,"Lemmens-Sherrington, Hellen",连蒙斯－薛琳顿,,1834-1906,英国,声乐,女高音,2017-08-08
3252440,"Lemnitz, Tiana",雷姆尼次,,1897-1994,德国,声乐,女高音,2017-08-08
3252441,"Lentz, Georges","连次,乔治",,1965-,卢森堡,作曲,nan,2017-08-08
3252442,"Lentz, Johan Nicolaas","连次,约翰",,1720-1782,德国,作曲,nan,2017-08-08
3252443,"Lenya, Lotte",连雅,,1898-1981,美国,声乐；演员,奥裔,2017-08-08
3252444,"Lenz, Wilhelm von",连兹,,1809-1883,俄国,音乐著作,德裔,2017-08-08
3252445,"Leo, Leonardo",雷欧,,1694-1744,义大利,作曲,nan,2017-08-08
3252446,"Leonard, Hubert",雷欧纳,,1819-1890,比利时,小提琴；作曲,nan,2017-08-08
3252447,"Leonard, Lawrence",雷欧纳德,,1923-2001,英国,指挥,nan,2017-08-08
3252448,"Leoncavallo, Ruggero",雷昂卡发洛,,1857-1919,义大利,作曲,nan,2017-08-08
3252449,"Leonhardt, Gustav",雷昂哈特,,1928-2012,荷兰,大键琴；管风琴,nan,2017-08-08
3252450,"Leoni, Franco",雷欧尼,,1864-1949,义大利,作曲,nan,2017-08-08
3252451,Léonin(Leoninus),雷欧南,,1135-1201,法国,作曲,nan,2017-08-08
3252452,"Leontsky, Jan",雷翁斯基,,1970-,法国,作曲,nan,2017-08-08
3252453,"Leppard, Raymond",雷帕德,,1927-,英国,指挥,nan,2017-08-08
3252454,"Lerich, Pierre",勒利许,,1937-,法国,作曲,nan,2017-08-08
3252455,"Leroux, Xavier",勒如,,1863-1919,法国,作曲,nan,2017-08-08
3252456,"Lescazes, Emmanuel de",雷卡兹,,1847-1931,法国,作曲,nan,2017-08-08
3252457,"Leschetizky, Theodor",雷协悌兹基,,1830-1915,波兰,钢琴；钢琴教育；作曲,nan,2017-08-08
3252458,"Leslie, Henry David",雷斯利,,1822-1896,英国,指挥；作曲,nan,2017-08-08
3252459,"Lessel, Franciszek",雷瑟尔,,1780-1838,波兰,作曲,nan,2017-08-08
3252460,"Lesueur, Jean-François",勒叙尔,,1760-1837,法国,作曲,nan,2018-04-17
3252461,"Lesure, François",勒叙儿,,1923-2001,法国,音乐学,nan,2018-04-17
3252462,"Levant, Oscar",雷万特,,1906-1972,美国,钢琴；作曲,nan,2018-04-17
3252463,"Levering, Arthur",雷文林,,1953-,美国,作曲,nan,2017-08-08
3252464,"Levi, Hermann","雷维,赫尔曼",,1839-1900,德国,指挥,nan,2017-08-08
3252465,"Levien, John Mewburn",雷汶,,1863-1953,英国,声乐,男中音,2017-08-08
3252466,"Levine, James",雷万,,1943-,美国,指挥,nan,2017-08-08
3252467,"Levkovich, Alexander","雷科维奇,亚力山大",,1952-,俄国,作曲,nan,2017-08-08
3252468,"Levy, Marvin David","雷维,马文",,1932-,美国,作曲；著作,nan,2017-08-08
3252469,"Lewandowski, Louis (Lazarus)",雷万多斯基,,1821-1894,波兰,作曲,nan,2017-08-08
3252470,"Lewenthal, Raymond",勒文特,,1926-1988,美国,钢琴,nan,2018-04-17
3252471,"Lewis, Anthony","路易斯,安东尼",,1915-1983,英国,指挥；作曲；音乐学,nan,2017-08-08
3252472,"Lewis, David","路易斯,大卫",,1961-,美国,作曲,nan,2017-08-08
3252473,"Lewis, Henry","路易斯,亨利",,1932-1996,美国,指挥,nan,2017-08-08
3252474,"Lewis, Jeffrey","路易斯,杰弗利",,1942-,英国,作曲；管风琴,nan,2017-08-08
3252475,"Lewis, Mary","路易斯,玛丽",,1900-1941,美国,声乐,女高音,2017-08-08
3252476,"Lewis, Peter Scott","路易斯,彼得",,1953-,美国,作曲,nan,2017-08-08
3252477,"Lewis, Richard","路易斯,理查",,1914-1990,英国,声乐,男高音,2017-08-08
3252478,"Lewkovitch, Bernhard","雷科维奇,伯纳德",,1927-,丹麦,作曲,nan,2017-08-08
